simulation,direct_pct,indirect_pct,total_direct_hrs,total_indirect_hrs
304,79.65202711685862,20.34797288314138,223662.89214413898,57137.10785586101
305,78.96493837122827,21.03506162877173,221733.54694640898,59066.453053591
306,78.4868790111541,21.5131209888459,220391.1562633207,60408.84373667928
307,80.22041719597864,19.77958280402136,225258.93148630802,55541.06851369197
308,81.2270104388013,18.7729895611987,228085.44531215404,52714.55468784596
309,81.58498017843591,18.415019821564087,229090.62434104807,51709.37565895191
310,79.42854401643584,20.571455983564164,223035.35159815184,57764.64840184816
311,81.69231954760808,18.30768045239192,229392.0332896835,51407.966710316505
312,79.98422712444382,20.01577287555618,224595.70976543825,56204.29023456173
313,79.02227030501824,20.97772969498176,221894.53501649122,58905.464983508784
314,80.36513834923785,19.634861650762147,225665.30848465988,55134.69151534013
315,81.30896738379029,18.69103261620971,228315.5804136831,52484.419586316886
316,79.16989931125642,20.830100688743585,222309.077266008,58490.922733991974
317,80.63044495999378,19.36955504000622,226410.2894476625,54389.7105523375
318,80.33313426262013,19.666865737379865,225575.44100943732,55224.55899056269
319,79.45015003117388,20.549849968826123,223096.02128753622,57703.97871246379
320,79.93935519673346,20.06064480326654,224469.70939242753,56330.29060757246
321,81.17092915504482,18.829070844955183,227927.96906736583,52872.03093263415
322,78.99233504600069,21.00766495399931,221810.47680916992,58989.52319083009
323,80.30500193279998,19.694998067200018,225496.44542730236,55303.55457269764
324,80.2812691657002,19.718730834299805,225429.80381728616,55370.19618271386
325,80.4000483318242,19.599951668175805,225763.33571576234,55036.66428423766
326,79.19106294913834,20.80893705086166,222368.5047611805,58431.49523881949
327,79.22386539291163,20.776134607088366,222460.61402329587,58339.38597670413
328,80.74393427451675,19.256065725483253,226728.96744284302,54071.032557156985
329,80.59171855275564,19.408281447244363,226301.54569613782,54498.45430386219
330,80.76231380892106,19.237686191078936,226780.57717545034,54019.42282454964
331,79.84343455398901,20.156565446010987,224200.36422760115,56599.63577239887
332,78.48530896136204,21.514691038637963,220386.7475635046,60413.25243649537
333,80.05586581070038,19.944134189299618,224796.87119644665,56003.12880355335
334,79.72238342268456,20.27761657731544,223860.45265089825,56939.54734910175
335,80.01702095088294,19.982979049117063,224687.7948300793,56112.2051699207
336,79.58723992539467,20.41276007460533,223480.96971050825,57319.03028949177
337,81.16086727438197,18.83913272561803,227899.71530646458,52900.28469353543
338,80.20224469046488,19.79775530953512,225207.90309082536,55592.096909174616
339,79.27496071576411,20.72503928423589,222604.08968986562,58195.91031013437
340,79.58422646308314,20.41577353691686,223472.50790833746,57327.492091662534
341,79.45360128243632,20.546398717563676,223105.7124010812,57694.28759891882
342,79.40227076834773,20.597729231652266,222961.57631752043,57838.423682479566
343,80.00157546467818,19.998424535321817,224644.42390481633,56155.57609518367
344,80.28424033379359,19.71575966620641,225438.1468572924,55361.8531427076
345,80.06956209229031,19.93043790770969,224835.3303551512,55964.66964484881
346,79.03413497125109,20.965865028748908,221927.85099927307,58872.14900072695
347,81.44206760701759,18.55793239298241,228689.3258405054,52110.67415949462
348,78.80198921858708,21.19801078141292,221275.98572579253,59524.01427420747
349,78.66356357004717,21.336436429952826,220887.28650469246,59912.71349530754
350,79.25773487057774,20.742265129422265,222555.71951658226,58244.28048341772
351,80.88231829584433,19.11768170415567,227117.5497747309,53682.4502252691
352,79.38922767726304,20.610772322736963,222924.95131775463,57875.04868224536
353,80.17616347067359,19.823836529326414,225134.66702565143,55665.33297434857
354,80.56410568773471,19.43589431226529,226224.00877115907,54575.991228840925
355,79.32105752516382,20.678942474836177,222733.52953066002,58066.47046934
356,79.95882400022705,20.041175999772946,224524.37779263756,56275.62220736244
357,78.99844757159289,21.00155242840711,221827.64078103282,58972.35921896718
358,78.95741486895218,21.042585131047815,221712.42095201777,59087.579047982246
359,78.82427794802635,21.17572205197365,221338.57247805802,59461.427521941965
360,80.07032108194898,19.929678918051025,224837.4615981127,55962.5384018873
361,79.35084283484176,20.649157165158243,222817.16668023565,57982.83331976436
362,79.96601077409949,20.033989225900513,224544.55825367133,56255.44174632867
363,81.29814498146952,18.70185501853048,228285.1911079664,52514.80889203361
364,80.48057048589163,19.519429514108367,225989.44192438372,54810.55807561628
365,79.75745372859889,20.24254627140111,223958.9300699057,56841.06993009429
366,80.47432943965028,19.525670560349724,225971.91706653795,54828.08293346205
367,77.71239691103389,22.287603088966108,218216.4105261832,62583.589473816784
368,78.1834244864196,21.816575513580403,219539.05595786622,61260.94404213379
369,80.53870792628786,19.461292073712144,226152.6918570163,54647.30814298371
370,79.8590461831966,20.140953816803403,224244.20168241605,56555.79831758395
371,80.80818998025835,19.191810019741652,226909.39746456544,53890.602535434555
372,78.41630487615105,21.583695123848955,220192.98409223213,60607.0159077679
373,80.30384680340393,19.69615319659607,225493.20182395825,55306.798176041775
374,79.08243194479044,20.917568055209557,222063.46890097158,58736.5310990284
375,79.78525242854263,20.214747571457366,224036.9888193477,56763.01118065229
376,80.30743523737588,19.692564762624116,225503.2781465515,55296.7218534485
377,78.58526791140953,21.41473208859047,220667.43229523796,60132.567704762034
378,79.36502704447447,20.634972955525527,222856.9959408843,57943.0040591157
379,80.8804401501567,19.1195598498433,227112.27594164002,53687.72405835996
380,80.19883090783961,19.801169092160393,225198.31718921365,55601.68281078637
381,79.86265002148392,20.137349978516085,224254.32126032683,56545.67873967318
